treated,age,age2,educ,black,hispanic,married,nodegree,re75,re78
0,36,1296,8,0,1,1,1,11995.161,16993.855
0,40,1600,12,0,0,1,0,14322.581,16254.992
0,26,676,12,0,0,1,0,24885.484,26599.078
0,53,2809,13,0,0,1,0,3938.7097,4728.7251
0,44,1936,17,0,0,1,0,56753.227,53198.156
0,42,1764,16,0,0,1,0,93096.773,100485.41
0,40,1600,16,0,0,1,0,57290.324,66497.695
0,24,576,12,1,0,1,0,19693.549,19210.445
0,52,2704,5,0,0,1,1,14322.581,14777.266
0,41,1681,17,0,0,1,0,52993.547,50242.703
0,43,1849,9,0,0,1,1,11565.484,11821.813
0,26,676,14,0,0,1,0,22020.969,22165.898
0,23,529,12,1,0,1,0,12532.258,21870.354
0,50,2500,5,1,0,1,1,10136.806,9266.8232
0,43,1849,12,0,0,1,0,36701.613,45809.523
0,26,676,12,1,0,1,0,17903.227,19505.99
0,21,441,12,0,0,1,0,20588.711,28815.668
0,26,676,12,0,0,1,0,15217.742,26599.078
0,40,1600,12,0,0,1,0,14322.581,16254.992
0,35,1225,10,0,0,1,1,16148.71,16606.691
0,21,441,12,0,0,1,0,15396.774,0
1,23,529,12,1,0,0,0,0,0
0,47,2209,16,0,0,1,0,71612.906,73886.328
0,53,2809,7,0,0,1,1,14322.581,13299.539
1,23,529,8,0,0,1,1,1713.15,4232.3091
0,28,784,16,0,0,1,0,34016.129,35465.438
0,44,1936,12,0,0,1,0,21483.871,25634.123
0,29,841,13,0,0,0,0,0,0
0,24,576,16,0,0,1,0,16112.903,31032.258
0,37,1369,17,1,0,1,0,19693.549,76841.781
0,53,2809,7,1,0,1,1,17525.469,15926.937
0,51,2601,17,0,1,1,0,0,88663.594
0,23,529,9,1,0,0,1,0,218.70354
1,20,400,11,1,0,0,1,1220.8361,1085.4399
0,22,484,14,0,0,1,0,24706.451,20688.172
0,37,1369,15,1,0,0,0,19210.16,17732.719
1,19,361,10,1,0,0,1,3213.113,2975.031
0,46,2116,10,0,0,1,1,21338.855,21131.49
0,26,676,13,0,0,0,0,3580.6453,8866.3594
0,27,729,14,1,0,0,0,17036.711,20688.172
0,34,1156,12,0,0,1,0,34016.129,32509.984
0,29,841,17,0,0,1,0,15217.742,24382.488
0,40,1600,16,0,0,1,0,35806.453,36943.164
1,25,625,5,1,0,0,1,0,6181.8799
0,28,784,10,1,0,1,1,15217.742,10639.631
0,46,2116,12,0,0,1,0,734.03229,20688.172
0,29,841,16,1,0,1,0,20588.711,42854.07
0,49,2401,9,0,0,1,1,21483.871,69453.148
0,41,1681,10,1,0,1,1,17366.129,21427.035
0,22,484,15,0,0,1,0,5370.9678,22165.898
0,48,2304,12,0,0,1,0,29269.984,34753.176
1,19,361,9,0,0,0,1,0,13188.83
0,48,2304,12,0,0,1,0,25064.516,23643.625
0,31,961,12,0,0,1,0,22379.031,0
0,53,2809,4,1,0,0,1,0,0
0,24,576,12,1,0,0,0,4654.8389,11821.813
0,20,400,11,0,0,0,1,14322.581,36943.164
0,21,441,13,1,0,0,0,21125.807,21870.354
0,21,441,14,0,0,1,0,11407.935,17141.629
0,35,1225,17,0,0,1,0,44758.066,36943.164
0,40,1600,10,0,0,1,1,24169.355,21427.035
0,27,729,12,0,0,1,0,15038.71,12738.003
0,19,361,11,0,0,0,1,12532.258,14777.266
0,34,1156,12,0,0,1,0,19532.42,16254.992
0,36,1296,17,0,0,0,0,30793.549,29584.086
0,27,729,17,0,0,1,0,21578.758,28520.123
1,33,1089,8,1,0,0,1,0,289.78989
0,22,484,12,0,0,1,0,14322.581,32509.984
0,51,2601,17,0,0,1,0,0,0
0,35,1225,12,0,0,1,0,19693.549,22535.33
0,27,729,17,0,0,1,0,0,0
0,33,1089,10,0,0,1,1,16112.903,12560.676
0,24,576,11,1,0,0,1,20230.645,31032.258
0,22,484,11,1,0,0,1,13427.419,8866.3594
0,28,784,12,0,0,1,0,32941.934,36204.301
0,24,576,17,0,0,1,0,16650,20688.172
0,19,361,11,1,0,1,1,7590.9678,11348.94
0,25,625,17,0,0,0,0,17414.469,5030.1812
0,37,1369,17,0,0,1,0,43862.902,31032.258
1,26,676,11,0,0,0,1,4676.457,1973.345
0,25,625,16,0,0,1,0,24706.451,26229.646
1,19,361,12,1,0,0,0,2534.072,4551.979
0,41,1681,16,1,0,1,0,23274.193,22165.898
0,32,1024,12,0,1,1,0,13964.516,66497.695
1,24,576,11,1,0,1,1,1666.113,4032.708
0,53,2809,9,1,0,1,1,13697.758,14186.175
0,22,484,14,0,0,1,0,17616.773,17289.4
0,51,2601,8,0,0,1,1,26407.258,22165.898
0,31,961,14,0,0,1,0,20141.129,19653.764
0,22,484,12,0,0,1,0,14465.806,18102.15
0,49,2401,14,0,0,1,0,0,0
0,34,1156,7,0,0,0,1,20481.289,19432.104
1,25,625,12,1,0,0,0,0,0
0,39,1521,17,0,0,1,0,0,0
0,40,1600,11,0,0,1,1,0,1477.7266
0,53,2809,6,1,0,1,1,10741.935,13299.539
0,42,1764,13,0,0,1,0,0,0
1,35,1225,9,1,0,1,1,13830.64,12803.97
0,23,529,16,0,0,1,0,23274.193,25121.352
0,40,1600,10,0,0,0,1,10741.935,15368.356
0,52,2704,12,0,0,1,0,34171.887,28667.896
1,22,484,11,0,0,0,1,0,1048.432
0,31,961,14,0,0,1,0,20141.129,19653.764
0,50,2500,6,1,0,1,1,4092.6775,0
0,34,1156,16,0,0,1,0,62661.289,54675.883
0,54,2916,4,1,0,1,1,0,0
1,17,289,10,1,0,0,1,1000.55,1433.531
0,44,1936,11,1,0,1,1,5370.9678,2955.4531
0,46,2116,8,0,0,1,1,16112.903,16254.992
0,45,2025,12,0,0,1,0,16381.452,18176.037
0,28,784,12,0,0,1,0,12532.258,10935.177
0,48,2304,15,0,0,1,0,71612.906,85708.141
0,25,625,12,0,0,1,0,31062.098,28076.805
0,32,1024,16,0,0,1,0,25064.516,26599.078
0,26,676,16,0,0,0,0,27750,9605.2227
0,22,484,12,0,0,1,0,4654.8389,13299.539
0,39,1521,12,0,0,1,0,7161.2905,11821.813
0,55,3025,2,1,0,1,1,20946.773,28076.805
0,27,729,12,1,0,0,0,14322.581,19210.445
0,27,729,12,1,0,1,0,5370.9678,6649.7695
0,28,784,16,0,0,1,0,21483.871,23495.854
0,28,784,16,0,0,1,0,59080.645,36943.164
0,42,1764,6,0,0,1,1,17903.227,23643.625
0,31,961,6,1,0,0,1,10741.935,5910.9063
0,35,1225,9,0,0,1,1,17706.289,8866.3594
0,32,1024,16,0,0,1,0,0,0
0,28,784,12,0,0,1,0,26854.84,22165.898
0,43,1849,8,1,0,1,1,12532.258,12930.108
0,30,900,12,1,0,1,0,21483.871,26599.078
1,20,400,11,1,0,0,1,6426.646,16451.461
0,44,1936,12,0,0,1,0,14424.629,14579.25
0,20,400,11,0,0,1,1,17008.064,0
1,31,961,13,0,0,0,0,5498.3501,2329.8669
0,28,784,13,0,0,1,0,19693.549,26599.078
0,29,841,12,1,0,1,0,18619.355,23643.625
0,44,1936,8,0,0,1,1,10312.258,12412.903
0,25,625,12,1,0,0,0,0,0
0,35,1225,16,0,0,1,0,24527.42,36943.164
0,52,2704,17,0,0,1,0,60870.969,59109.063
0,33,1089,17,0,0,1,0,31867.742,28815.668
1,27,729,10,0,1,0,1,421.3024,3075.8621
0,29,841,14,0,0,1,0,22099.742,29644.674
1,26,676,10,1,0,1,1,0,0
0,29,841,17,0,0,1,0,35806.453,0
0,55,3025,17,0,0,1,0,98467.742,88663.594
0,24,576,12,1,0,1,0,25959.678,31032.258
0,44,1936,5,1,0,1,1,8951.6133,8866.3594
0,23,529,12,0,0,1,0,21483.871,25121.352
0,44,1936,17,0,0,1,0,53709.676,53198.156
0,48,2304,6,0,1,1,1,42967.742,36943.164
1,17,289,10,1,0,0,1,5793.8521,5522.7881
0,49,2401,10,1,0,1,1,0,5319.8159
0,30,900,14,0,0,1,0,14322.581,14777.266
0,19,361,11,0,0,1,1,6416.5161,27781.26
0,37,1369,11,1,0,1,1,21483.871,13063.103
0,30,900,12,0,0,1,0,15754.839,33987.711
0,47,2209,17,0,0,1,0,20230.645,42410.754
0,45,2025,12,0,0,1,0,31509.678,27377.84
0,24,576,11,1,0,1,1,10741.935,13299.539
0,46,2116,11,0,0,1,1,39387.098,35465.438
0,43,1849,12,0,0,1,0,23811.289,31032.258
0,22,484,13,0,0,1,0,26854.84,39159.754
0,43,1849,12,0,0,1,0,26854.84,28076.805
0,52,2704,12,0,0,1,0,24706.451,32509.984
0,45,2025,4,0,1,1,1,28108.064,28076.805
0,26,676,12,1,0,1,0,14150.71,16342.178
0,53,2809,8,0,0,1,1,0,7240.8604
0,28,784,16,0,0,0,0,6445.1611,0
0,47,2209,8,0,0,1,1,33837.098,38568.664
0,26,676,12,1,0,1,0,23274.193,29554.531
0,50,2500,17,0,0,1,0,30435.484,25860.215
0,38,1444,12,0,0,1,0,0,0
0,24,576,10,1,0,1,1,10741.935,11821.813
1,23,529,11,1,0,0,1,8959.5889,1659.5
0,32,1024,16,0,0,1,0,25959.678,35465.438
0,30,900,11,0,0,1,1,17989.16,23052.535
0,35,1225,16,0,0,1,0,24169.355,25638.557
0,26,676,17,0,0,1,0,25064.516,26599.078
0,26,676,12,0,0,1,0,18261.289,24973.578
0,41,1681,16,0,0,1,0,34016.129,42854.07
0,23,529,11,1,0,0,1,0,0
0,27,729,12,0,1,1,0,16829.031,37829.801
0,23,529,16,0,0,1,0,19693.549,29554.531
0,49,2401,4,1,0,1,1,28645.16,22165.898
0,31,961,17,0,0,1,0,26854.84,32509.984
0,52,2704,15,0,0,1,0,35806.453,38420.891
0,36,1296,9,0,0,1,1,0,0
0,30,900,12,0,0,1,0,1790.3226,1477.7266
0,36,1296,8,0,1,1,1,11995.161,16993.855
0,50,2500,12,0,0,1,0,27544.113,26876.891
0,33,1089,17,0,0,1,0,31867.742,35465.438
0,26,676,12,1,0,1,0,18798.387,18471.582
0,21,441,13,0,0,1,0,8951.6133,27337.941
0,46,2116,12,0,0,1,0,24169.355,26780.84
0,43,1849,12,0,0,1,0,20588.711,19210.445
0,43,1849,9,0,0,1,1,10741.935,10344.086
0,27,729,12,1,0,1,0,18798.387,31032.258
0,53,2809,7,1,0,1,1,17525.469,15926.937
0,42,1764,13,0,0,1,0,0,0
0,33,1089,16,0,1,1,0,85935.484,96052.227
0,20,400,9,0,0,1,1,20767.742,23643.625
0,34,1156,9,1,0,1,1,8951.6133,10344.086
0,42,1764,6,1,0,1,1,28645.16,20688.172
0,32,1024,17,0,0,1,0,64451.613,99007.68
0,31,961,16,0,0,1,0,42967.742,76841.781
0,41,1681,11,0,0,1,1,0,14481.72
0,27,729,16,0,0,1,0,0,0
0,23,529,11,1,0,1,1,5818.5483,10048.541
0,47,2209,17,0,0,1,0,49233.871,54675.883
0,26,676,13,0,0,0,0,5729.0322,9605.2227
0,34,1156,10,1,0,1,1,10083.097,18471.582
0,23,529,15,0,0,1,0,20844.727,25514.428
0,43,1849,13,1,0,1,0,34016.129,39898.617
1,25,625,10,1,0,0,1,0,0
0,28,784,12,0,0,1,0,41177.418,47287.25
0,40,1600,12,0,0,1,0,48338.711,44331.797
0,46,2116,12,0,0,1,0,8504.0322,10376.596
0,27,729,16,0,0,1,0,11637.097,25121.352
0,43,1849,12,0,0,1,0,14680.645,13831.521
0,53,2809,15,0,0,1,0,24169.355,28076.805
1,27,729,10,1,0,0,1,3213.322,2094.1189
0,21,441,12,1,0,1,0,3043.5483,10048.541
0,49,2401,6,0,1,1,1,16470.969,13595.084
1,23,529,11,1,0,0,1,1961.864,3689.126
0,25,625,16,0,0,0,0,25601.613,30145.621
0,24,576,14,1,0,1,0,28466.129,40637.48
0,40,1600,11,0,0,1,1,12532.258,13299.539
0,51,2601,9,0,0,0,1,32225.807,39898.617
0,31,961,12,0,0,1,0,0,0
0,25,625,14,1,0,1,0,17724.193,25121.352
0,41,1681,7,1,0,1,1,26708.031,14777.266
0,34,1156,12,0,0,1,0,30435.484,39898.617
0,22,484,13,0,0,0,0,6266.1289,17363.287
0,54,2916,16,0,0,1,0,26854.84,26451.307
0,53,2809,16,0,0,1,0,0,2955.4531
0,27,729,16,0,0,1,0,1253.2258,4363.7266
0,28,784,14,0,0,1,0,13427.419,0
0,37,1369,12,0,0,1,0,11372.129,8866.3594
1,43,1849,9,1,0,0,1,0,0
0,50,2500,16,0,0,1,0,34016.129,33987.711
0,37,1369,17,0,0,0,0,23005.645,22165.898
0,32,1024,12,1,0,1,0,16112.903,17732.719
0,33,1089,12,0,0,1,0,14412.097,20688.172
0,26,676,14,0,0,0,0,0,0
0,47,2209,12,1,0,1,0,32225.807,17732.719
0,40,1600,11,0,0,1,1,21483.871,27485.715
0,53,2809,2,0,0,1,1,8593.5488,0
0,53,2809,6,0,0,1,1,17187.098,45809.523
0,30,900,14,0,0,1,0,17545.16,0
1,18,324,6,1,0,0,1,0,0
0,24,576,14,1,0,1,0,26353.549,18767.127
0,31,961,12,1,0,0,0,17903.227,14777.266
0,38,1444,9,1,0,1,1,7941.8711,11245.499
0,34,1156,17,0,0,0,0,7161.2905,5910.9063
0,34,1156,16,0,0,1,0,39387.098,41671.891
0,48,2304,11,0,0,0,1,0,0
0,19,361,12,0,0,1,0,15754.839,19210.445
0,28,784,9,0,0,1,1,12532.258,17732.719
0,19,361,12,0,0,1,0,12532.258,24382.488
0,55,3025,12,0,1,1,0,0,0
0,31,961,11,0,0,1,1,35806.453,36943.164
0,33,1089,12,0,0,1,0,0,2770.7373
0,28,784,7,1,0,1,1,8142.3872,1477.7266
0,27,729,13,0,0,1,0,16112.903,29554.531
0,41,1681,12,0,0,1,0,14322.581,22165.898
0,48,2304,12,0,0,1,0,0,12930.108
0,22,484,16,0,0,1,0,16112.903,16254.992
0,25,625,12,0,0,0,0,21483.871,26599.078
0,20,400,12,0,0,1,0,18655.16,16993.855
0,25,625,16,0,0,0,0,0,23389.455
0,32,1024,12,1,0,1,0,5370.9678,8866.3594
1,24,576,12,0,1,1,0,7212.1099,6485.5078
0,44,1936,16,0,0,1,0,30435.484,19210.445
0,26,676,12,0,0,1,0,25959.678,26599.078
0,50,2500,12,0,0,1,0,26854.84,27337.941
0,37,1369,14,0,0,1,0,44758.066,81274.961
0,27,729,16,0,0,1,0,12532.258,17720.896
0,40,1600,12,0,0,1,0,31330.645,27633.486
0,25,625,9,0,0,1,1,12890.323,16254.992
0,44,1936,12,0,0,1,0,16112.903,17289.4
0,55,3025,12,0,0,1,0,26854.84,26599.078
1,28,784,11,1,0,0,1,6871.856,0
0,39,1521,5,1,0,1,1,13427.419,14629.493
0,22,484,12,0,0,1,0,23274.193,26155.76
1,33,1089,11,1,0,0,1,7867.916,6281.4331
0,43,1849,12,0,0,1,0,23811.289,31032.258
0,24,576,16,0,0,1,0,24706.451,37829.801
1,17,289,10,1,0,0,1,0,0
0,44,1936,12,0,0,1,0,0,0
0,54,2916,6,1,0,1,1,0,0
0,49,2401,12,0,0,1,0,35806.453,23643.625
0,24,576,13,1,0,1,0,16112.903,12560.676
0,20,400,13,0,1,0,0,0,8275.2686
0,46,2116,12,0,0,1,0,48338.711,73886.328
1,17,289,7,1,0,0,1,0,3023.8789
0,44,1936,12,0,0,1,0,44758.066,41376.344
0,46,2116,11,1,0,1,1,17903.227,13326.138
0,55,3025,8,1,0,1,1,17903.227,16254.992
0,33,1089,9,0,0,1,1,6266.1289,8866.3594
0,28,784,16,1,0,1,0,16112.903,22018.127
0,25,625,12,0,0,1,0,24074.469,25195.238
0,26,676,12,0,0,1,0,28645.16,33987.711
0,19,361,11,1,0,0,1,0,0
0,26,676,12,0,0,1,0,0,0
0,27,729,16,0,0,1,0,18798.387,25860.215
0,21,441,16,0,0,0,0,22379.031,27337.941
0,40,1600,12,0,0,1,0,19693.549,17732.719
0,48,2304,17,0,0,1,0,41177.418,41376.344
0,22,484,13,0,0,0,0,3759.6775,16254.992
0,27,729,12,0,0,1,0,12532.258,4137.6343
0,52,2704,6,1,0,1,1,1246.0645,1477.7266
0,31,961,11,1,0,1,1,19693.549,14777.266
1,24,576,11,1,0,0,1,9180.9199,0
0,26,676,16,0,0,1,0,11637.097,20688.172
0,28,784,14,0,0,1,0,22379.031,27337.941
0,34,1156,11,1,0,0,1,2148.3872,15516.129
0,33,1089,9,1,0,1,1,16112.903,19210.445
0,48,2304,6,1,0,1,1,16112.903,17732.719
0,28,784,12,1,0,0,0,17008.064,19949.309
0,35,1225,9,1,0,1,1,24169.355,26599.078
0,24,576,12,0,1,1,0,8951.6133,21870.354
0,25,625,12,1,0,1,0,5370.9678,24642.568
0,34,1156,11,0,0,1,1,19693.549,14777.266
1,19,361,11,1,0,0,1,532.2536,0
1,24,576,11,1,0,0,1,0,1991.4
0,42,1764,10,0,0,1,1,18798.387,22165.898
0,35,1225,16,0,0,1,0,0,0
0,26,676,12,0,0,1,0,20946.773,22165.898
0,46,2116,9,0,0,1,1,14322.581,13299.539
0,30,900,10,1,0,0,1,14322.581,2364.3625
0,35,1225,9,1,0,0,1,5370.9678,5910.9063
0,28,784,12,1,0,1,0,19693.549,13299.539
0,54,2916,10,0,0,1,1,32225.807,19210.445
0,36,1296,12,0,0,1,0,21483.871,23643.625
0,29,841,10,1,0,1,1,9780.5322,8866.3594
0,23,529,17,0,0,1,0,5370.9678,0
0,43,1849,17,0,0,1,0,48338.711,51424.887
0,26,676,16,0,0,1,0,20588.711,28815.668
0,29,841,15,0,0,1,0,19693.549,32509.984
0,50,2500,8,0,0,1,1,0,0
0,51,2601,8,0,0,1,1,27019.549,27337.941
0,55,3025,11,0,0,1,1,37417.742,32177.496
1,18,324,10,1,0,0,1,1784.274,11141.39
0,23,529,12,0,0,1,0,0,23643.625
0,24,576,12,1,0,0,0,11995.161,19210.445
1,21,441,12,1,0,0,0,0,1254.582
0,50,2500,12,1,0,1,0,17903.227,25121.352
0,47,2209,12,0,0,0,0,0,0
0,48,2304,16,0,0,1,0,26058.145,31918.895
1,41,1681,9,1,0,1,1,5783.981,0
1,20,400,12,1,0,0,0,1160.366,702.1839
0,36,1296,12,0,0,1,0,15217.742,16254.992
0,42,1764,17,0,0,1,0,22379.031,0
0,28,784,12,0,0,1,0,18261.289,21427.035
0,38,1444,9,0,0,1,1,21483.871,47287.25
1,31,961,9,0,1,0,1,0,26817.6
0,40,1600,8,0,0,1,1,0,0
1,29,841,13,1,0,0,0,0,7479.6558
0,45,2025,12,0,0,1,0,27391.936,25564.67
0,27,729,12,0,0,1,0,14322.581,19210.445
0,23,529,12,0,0,1,0,26854.84,17437.174
0,25,625,12,1,0,1,0,21483.871,1220.6022
0,22,484,12,0,0,1,0,16025.177,13151.767
0,30,900,9,0,0,1,1,23900.807,23791.398
0,23,529,12,0,0,1,0,19335.484,19210.445
0,29,841,12,0,0,1,0,20588.711,19949.309
0,22,484,9,1,0,1,1,10419.677,9079.1523
0,27,729,17,0,0,1,0,22379.031,14777.266
0,38,1444,12,0,0,1,0,41177.418,36943.164
0,47,2209,11,0,0,1,1,30435.484,36943.164
0,27,729,12,0,0,1,0,0,5910.9063
0,21,441,12,0,0,0,0,9667.7422,13299.539
0,30,900,11,1,0,1,1,24547.113,22165.898
1,18,324,8,1,0,0,1,1199.641,0
0,26,676,16,0,0,1,0,32225.807,36943.164
1,40,1600,12,1,0,0,0,0,10804.32
0,27,729,12,0,0,1,0,20588.711,18323.811
0,34,1156,17,0,0,1,0,34016.129,33987.711
0,21,441,13,0,0,0,0,4946.6611,1733.3733
0,51,2601,12,0,0,0,0,62661.289,71669.742
0,35,1225,11,1,0,1,1,8557.7422,7388.6328
1,18,324,11,1,0,0,1,0,0
0,33,1089,12,0,0,1,0,18082.258,26081.873
0,37,1369,13,0,0,1,0,8951.6133,17732.719
0,46,2116,16,0,0,1,0,57290.324,63542.242
0,51,2601,11,0,0,1,1,25064.516,26599.078
0,25,625,10,0,0,1,1,8647.2578,8866.3594
0,43,1849,14,0,0,1,0,0,6992.6021
1,22,484,11,1,0,0,1,12170.94,8408.3926
1,25,625,11,1,0,0,1,0,9897.0488
1,25,625,12,1,0,0,0,0,2348.9729
0,29,841,10,1,0,1,1,8325,23643.625
0,21,441,12,0,0,1,0,21215.322,56892.473
0,26,676,16,0,0,1,0,25780.645,25564.67
0,22,484,12,0,0,1,0,26765.322,35465.438
0,46,2116,11,0,0,1,1,30077.42,39898.617
0,26,676,16,0,0,1,0,16112.903,26599.078
0,45,2025,9,1,0,1,1,8951.6133,8866.3594
0,25,625,11,0,0,1,1,21483.871,8204.3379
0,43,1849,10,1,0,1,1,2148.3872,0
0,29,841,14,0,0,1,0,16112.903,20688.172
0,23,529,12,0,0,1,0,7161.2905,16993.855
0,47,2209,12,0,0,1,0,23274.193,25860.215
0,35,1225,12,0,0,1,0,9309.6777,11821.813
0,21,441,12,0,0,1,0,19693.549,28224.578
1,23,529,12,1,0,0,0,3039.96,8484.2393
0,54,2916,13,0,0,1,0,25422.58,24382.488
0,26,676,14,1,0,1,0,25717.984,26643.41
0,29,841,17,0,0,1,0,21752.42,22165.898
0,37,1369,14,0,0,1,0,32225.807,0
0,41,1681,13,0,0,1,0,48338.711,38420.891
0,33,1089,13,0,0,1,0,41177.418,38420.891
0,39,1521,5,1,0,1,1,10741.935,19210.445
0,26,676,13,0,0,1,0,14680.645,18471.582
0,44,1936,17,0,0,1,0,23274.193,23348.08
0,27,729,12,1,0,1,0,20588.711,21722.58
0,37,1369,14,0,1,1,0,26854.84,26554.746
0,41,1681,12,0,0,1,0,19693.549,32509.984
0,26,676,14,0,0,1,0,13427.419,20688.172
0,40,1600,8,0,0,1,1,0,0
0,42,1764,16,0,0,1,0,53709.676,53641.477
1,18,324,9,1,0,0,1,1182.786,5100.4692
0,28,784,14,0,0,0,0,35448.387,33987.711
0,48,2304,9,0,0,1,1,19693.549,23052.535
0,33,1089,13,0,0,0,0,3580.6453,16254.992
0,31,961,12,0,0,1,0,0,0
0,22,484,13,0,0,1,0,16112.903,0
0,35,1225,12,1,0,1,0,14322.581,15638.78
0,23,529,9,1,0,1,1,12532.258,14777.266
0,27,729,12,0,0,1,0,18082.258,32657.758
0,27,729,13,0,0,1,0,34016.129,11128.759
1,27,729,11,1,0,0,1,14223.5,7661.9731
0,55,3025,3,1,0,1,1,5370.9678,4137.6343
0,49,2401,17,0,0,1,0,26854.84,29554.531
0,52,2704,12,0,0,1,0,35831.516,48764.977
0,53,2809,8,0,0,1,1,22033.5,23195.873
0,46,2116,9,0,1,1,1,0,0
0,21,441,16,0,0,1,0,10562.903,16993.855
0,27,729,16,0,0,1,0,22200,19210.445
0,22,484,15,0,0,0,0,2864.5161,5024.2705
0,47,2209,14,0,0,1,0,0,0
0,37,1369,12,0,0,1,0,21483.871,23052.535
0,40,1600,7,1,0,1,1,8674.1133,9221.0137
0,24,576,13,0,1,1,0,24742.258,35317.664
0,21,441,12,0,0,1,0,12532.258,25121.352
1,37,1369,11,1,0,1,1,0,9930.0459
0,42,1764,13,0,0,1,0,0,33987.711
0,36,1296,12,0,0,1,0,10741.935,0
0,52,2704,4,0,0,1,1,15074.516,14422.611
0,26,676,8,0,0,1,1,7447.7417,9900.7676
0,26,676,12,1,0,0,0,10741.935,15619.57
0,24,576,13,0,0,1,0,17187.098,22313.672
0,45,2025,16,0,0,1,0,48338.711,59109.063
0,28,784,12,0,0,1,0,12532.258,0
0,40,1600,10,0,1,1,1,0,0
0,34,1156,12,1,0,1,0,17366.129,19210.445
0,28,784,17,0,0,1,0,20946.773,69453.148
0,39,1521,12,0,0,0,0,31509.678,15516.129
0,23,529,12,0,0,1,0,21483.871,26599.078
0,38,1444,8,0,0,1,1,19693.549,23643.625
0,23,529,12,1,0,1,0,7812.9678,14777.266
0,46,2116,6,0,0,1,1,0,0
0,51,2601,12,0,0,1,0,32225.807,29554.531
0,22,484,12,1,0,1,0,2470.6453,0
0,33,1089,17,0,0,1,0,43236.289,40415.82
0,49,2401,17,0,0,1,0,31867.742,35465.438
0,25,625,12,0,0,1,0,16112.903,26599.078
0,32,1024,10,0,0,1,1,27033.871,22904.762
0,18,324,12,0,0,0,0,14322.581,21427.035
0,20,400,14,0,0,0,0,17008.064,26599.078
0,55,3025,14,0,0,1,0,19693.549,2068.8171
0,28,784,17,0,0,1,0,37507.258,38420.891
0,23,529,11,1,0,1,1,6266.1289,10344.086
0,54,2916,12,1,0,0,0,25064.516,20688.172
0,32,1024,12,0,0,1,0,14322.581,13299.539
0,32,1024,17,0,0,1,0,46548.387,25121.352
0,40,1600,16,0,0,1,0,26854.84,32421.32
0,33,1089,12,0,0,1,0,12890.323,20688.172
0,24,576,12,0,0,1,0,19693.549,11526.267
0,27,729,14,1,0,1,0,0,13299.539
0,54,2916,13,0,0,1,0,0,0
0,26,676,17,0,0,1,0,28645.16,49651.613
1,21,441,12,0,0,0,0,334.04941,12558.02
0,44,1936,9,0,0,1,1,13905.435,16373.21
0,24,576,12,0,0,1,0,13427.419,17732.719
0,47,2209,8,0,1,1,1,7161.2905,1477.7266
0,53,2809,5,0,0,1,1,17903.227,20215.301
0,27,729,11,1,0,1,1,3938.7097,7684.1782
0,32,1024,12,0,0,1,0,0,0
0,21,441,12,0,0,1,0,18529.84,11969.585
0,37,1369,12,0,0,0,0,25780.645,22461.443
0,35,1225,8,0,0,1,1,18796.598,13299.539
0,46,2116,17,0,0,1,0,31330.645,31298.248
1,27,729,12,1,0,1,0,334.04929,0
0,51,2601,16,0,0,1,0,28645.16,28076.805
0,35,1225,16,0,0,1,0,29540.322,37120.492
0,25,625,16,0,0,1,0,17903.227,25712.441
0,54,2916,12,0,0,1,0,0,0
0,21,441,11,0,0,1,1,11458.065,0
0,54,2916,16,0,0,1,0,0,0
